couponId,Hour,Minimum Clicks/Minute,Minimum Clicks Minute,Maximum C/Min,Maximum Clicks Minute,Mean C/min,Median C/min ,Sample Standard Deviation
1226192,00,0,0,2,44,0.05,0.0,0.28671133537149973
2825685,00,0,0,1,31,0.016666666666666666,0.0,0.12909944487358063
1635505,00,0,0,2,39,0.03333333333333333,0.0,0.2581988897471612
2668860,00,0,0,1,28,0.016666666666666666,0.0,0.12909944487358063
2715169,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
2698986,00,0,0,1,52,0.016666666666666666,0.0,0.12909944487358058
2820142,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
S137355,00,0,0,1,2,0.03333333333333333,0.0,0.1810203347193924
2842605,00,0,0,2,8,0.08333333333333333,0.0,0.3340388014946093
2851439,00,0,0,1,13,0.016666666666666666,0.0,0.1290994448735807
1114347,00,0,0,1,14,0.016666666666666666,0.0,0.1290994448735807
2839759,00,0,0,1,34,0.016666666666666666,0.0,0.12909944487358063
2851225,00,0,0,4,21,0.16666666666666666,0.0,0.6152487898779876
2839331,00,0,0,1,58,0.03333333333333333,0.0,0.18102033471939252
2811251,00,0,0,3,28,0.15,0.0,0.5150283849343995
2454593,00,0,0,1,29,0.016666666666666666,0.0,0.12909944487358063
2782991,00,0,0,2,14,0.05,0.0,0.28671133537150006
2709465,00,0,0,1,27,0.06666666666666667,0.0,0.2515488742932316
2849413,00,0,0,2,27,0.05,0.0,0.28671133537149984
2818978,00,0,0,1,3,0.03333333333333333,0.0,0.1810203347193924
2032161,00,0,0,2,4,0.05,0.0,0.28671133537150006
1666287,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
2837554,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2787516,00,0,0,1,14,0.016666666666666666,0.0,0.1290994448735807
2468752,00,0,0,2,36,0.08333333333333333,0.0,0.3340388014946091
1075593,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
2659176,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
1938299,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
1551019,00,0,0,1,51,0.016666666666666666,0.0,0.12909944487358058
2472112,00,0,0,1,30,0.03333333333333333,0.0,0.18102033471939247
1536088,00,0,0,2,11,0.05,0.0,0.2867113353714999
2679761,00,0,0,2,36,0.03333333333333333,0.0,0.25819888974716126
2711379,00,0,0,1,12,0.06666666666666667,0.0,0.25154887429323153
2394060,00,0,0,1,14,0.016666666666666666,0.0,0.1290994448735807
2736841,00,0,0,1,24,0.05,0.0,0.2197841776510827
2553333,00,0,0,1,53,0.016666666666666666,0.0,0.12909944487358058
2380494,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
1755770,00,0,0,1,42,0.016666666666666666,0.0,0.1290994448735806
2847250,00,0,0,1,46,0.03333333333333333,0.0,0.1810203347193925
2767833,00,0,0,1,22,0.016666666666666666,0.0,0.12909944487358066
2534257,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
S170911,00,0,0,1,11,0.016666666666666666,0.0,0.1290994448735807
2334917,00,0,0,1,7,0.016666666666666666,0.0,0.12909944487358072
2485331,00,0,0,1,19,0.05,0.0,0.21978417765108269
2618266,00,0,0,2,43,0.03333333333333333,0.0,0.2581988897471612
2558222,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2808303,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
2838961,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
2848355,00,0,0,1,56,0.016666666666666666,0.0,0.12909944487358055
1738206,00,0,0,1,25,0.03333333333333333,0.0,0.18102033471939244
2681940,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2850599,00,0,0,1,19,0.03333333333333333,0.0,0.1810203347193924
S208246,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2188235,00,0,0,1,51,0.016666666666666666,0.0,0.12909944487358058
2843660,00,0,0,1,29,0.016666666666666666,0.0,0.12909944487358063
2739670,00,0,0,1,33,0.016666666666666666,0.0,0.12909944487358063
2661860,00,0,0,1,12,0.016666666666666666,0.0,0.1290994448735807
2021489,00,0,0,1,29,0.016666666666666666,0.0,0.12909944487358063
2660521,00,0,0,1,38,0.016666666666666666,0.0,0.1290994448735806
2739344,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2823388,00,0,0,1,53,0.016666666666666666,0.0,0.12909944487358058
S234507,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
2537460,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
2845408,00,0,0,1,12,0.016666666666666666,0.0,0.1290994448735807
2687250,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2523118,00,0,0,1,6,0.06666666666666667,0.0,0.2515488742932316
2694356,00,0,0,1,44,0.016666666666666666,0.0,0.1290994448735806
2850975,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
685523,00,0,0,2,42,0.03333333333333333,0.0,0.2581988897471612
2647771,00,0,0,1,15,0.016666666666666666,0.0,0.1290994448735807
2493315,00,0,0,1,35,0.016666666666666666,0.0,0.12909944487358063
2708843,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2377256,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2699352,00,0,0,1,46,0.016666666666666666,0.0,0.1290994448735806
S151534,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
2477605,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
2474174,00,0,0,1,21,0.03333333333333333,0.0,0.1810203347193924
2851273,00,0,0,3,8,0.25,0.0,0.6277481952265331
2820146,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
S152212,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
2825830,00,0,0,1,40,0.016666666666666666,0.0,0.1290994448735806
2436053,00,0,0,1,10,0.016666666666666666,0.0,0.1290994448735807
2851792,00,0,0,2,24,0.05,0.0,0.2867113353714999
2093860,00,0,0,3,16,0.06666666666666667,0.0,0.40616714713579416
2489974,00,0,0,1,17,0.016666666666666666,0.0,0.12909944487358066
2475868,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
S150045,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
S145075,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
2842613,00,0,0,1,27,0.03333333333333333,0.0,0.18102033471939244
2446192,00,0,0,1,12,0.08333333333333333,0.0,0.27871780678530234
1247232,00,0,0,1,13,0.03333333333333333,0.0,0.1810203347193924
907378,00,0,0,1,18,0.016666666666666666,0.0,0.12909944487358066
2850034,00,0,0,1,42,0.016666666666666666,0.0,0.1290994448735806
1941382,00,0,0,1,56,0.016666666666666666,0.0,0.12909944487358055
2845259,00,0,0,1,2,0.016666666666666666,0.0,0.12909944487358072
2848565,00,0,0,1,28,0.016666666666666666,0.0,0.12909944487358063
2796593,00,0,0,1,18,0.016666666666666666,0.0,0.12909944487358066
2849270,00,0,0,1,25,0.21666666666666667,0.0,0.41545020165658514
2767423,00,0,0,1,14,0.016666666666666666,0.0,0.1290994448735807
2850434,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
2114195,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
2612782,00,0,0,1,32,0.016666666666666666,0.0,0.12909944487358063
2464306,00,0,0,2,35,0.05,0.0,0.28671133537149973
2782222,00,0,0,1,29,0.016666666666666666,0.0,0.12909944487358063
2776923,00,0,0,1,11,0.08333333333333333,0.0,0.27871780678530217
2035499,00,0,0,1,59,0.016666666666666666,0.0,0.12909944487358055
2848353,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
1404729,00,0,0,1,37,0.016666666666666666,0.0,0.12909944487358063
2602146,00,0,0,1,27,0.016666666666666666,0.0,0.12909944487358063
2596713,00,0,0,1,23,0.03333333333333333,0.0,0.18102033471939244
S145628,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
2386560,00,0,0,1,6,0.016666666666666666,0.0,0.12909944487358072
1837502,00,0,0,1,47,0.016666666666666666,0.0,0.1290994448735806
2571900,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
2605276,00,0,0,1,38,0.016666666666666666,0.0,0.1290994448735806
2781416,00,0,0,2,6,0.05,0.0,0.2867113353714996
2765761,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2835446,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
2846571,00,0,0,2,13,0.15,0.0,0.40442468029770196
2848686,00,0,0,2,57,0.03333333333333333,0.0,0.2581988897471611
2689751,00,0,0,1,50,0.016666666666666666,0.0,0.12909944487358058
2839757,00,0,0,1,3,0.08333333333333333,0.0,0.2787178067853024
1929888,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2788456,00,0,0,1,10,0.016666666666666666,0.0,0.1290994448735807
S136543,00,0,0,1,43,0.05,0.0,0.21978417765108274
2788194,00,0,0,1,4,0.016666666666666666,0.0,0.12909944487358072
2799585,00,0,0,2,36,0.08333333333333333,0.0,0.3340388014946092
S150015,00,0,0,1,13,0.016666666666666666,0.0,0.1290994448735807
2843484,00,0,0,2,16,0.15,0.0,0.4044246802977021
S150985,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
2704307,00,0,0,1,29,0.016666666666666666,0.0,0.12909944487358063
2755290,00,0,0,1,13,0.016666666666666666,0.0,0.1290994448735807
1535617,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2465034,00,0,0,1,40,0.016666666666666666,0.0,0.1290994448735806
2692958,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2846789,00,0,5,6,35,1.8333333333333333,1.5,1.5089188706461625
S191272,00,0,0,1,30,0.016666666666666666,0.0,0.12909944487358063
2774724,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
S212436,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2624968,00,0,0,1,51,0.016666666666666666,0.0,0.12909944487358058
2617854,00,0,0,1,42,0.016666666666666666,0.0,0.1290994448735806
1600453,00,0,0,1,10,0.03333333333333333,0.0,0.1810203347193924
2808304,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
S190755,00,0,0,1,10,0.016666666666666666,0.0,0.1290994448735807
S140912,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
819891,00,0,0,1,38,0.016666666666666666,0.0,0.1290994448735806
2685415,00,0,0,2,20,0.05,0.0,0.2867113353714996
S159076,00,0,0,1,19,0.016666666666666666,0.0,0.12909944487358066
2842556,00,0,0,1,31,0.03333333333333333,0.0,0.18102033471939247
985773,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
2835427,00,0,0,1,20,0.016666666666666666,0.0,0.12909944487358066
2851667,00,0,0,1,1,0.05,0.0,0.21978417765108266
2714514,00,0,0,2,36,0.03333333333333333,0.0,0.25819888974716126
520144,00,0,0,1,39,0.016666666666666666,0.0,0.1290994448735806
2840005,00,0,0,1,33,0.05,0.0,0.21978417765108274
2350418,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2780206,00,0,0,1,23,0.03333333333333333,0.0,0.18102033471939244
2664313,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
2771625,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
2120882,00,0,0,3,24,0.16666666666666666,0.0,0.5574356135706048
S155501,00,0,0,1,15,0.016666666666666666,0.0,0.1290994448735807
2752259,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
2706295,00,0,0,1,6,0.03333333333333333,0.0,0.1810203347193924
S193446,00,0,0,1,36,0.016666666666666666,0.0,0.12909944487358063
2739664,00,0,0,1,21,0.016666666666666666,0.0,0.12909944487358066
2727295,00,0,0,1,17,0.016666666666666666,0.0,0.12909944487358066
2819003,00,0,0,2,25,0.06666666666666667,0.0,0.3620406694387849
S165754,00,0,0,1,36,0.016666666666666666,0.0,0.12909944487358063
2784263,00,0,0,1,57,0.016666666666666666,0.0,0.12909944487358055
S155818,00,0,0,1,13,0.016666666666666666,0.0,0.1290994448735807
2775097,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
S191561,00,0,0,1,10,0.016666666666666666,0.0,0.1290994448735807
S142762,00,0,0,1,9,0.016666666666666666,0.0,0.1290994448735807
2817550,00,0,0,1,7,0.05,0.0,0.21978417765108266
852775,00,0,0,1,46,0.016666666666666666,0.0,0.1290994448735806
S193209,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
2743665,00,0,0,1,2,0.1,0.0,0.30253169045376627
2640652,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
2808065,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2801393,00,0,0,1,35,0.016666666666666666,0.0,0.12909944487358063
2597705,00,0,0,1,17,0.03333333333333333,0.0,0.1810203347193924
2620609,00,0,0,2,4,0.03333333333333333,0.0,0.25819888974716143
2114040,00,0,0,1,16,0.03333333333333333,0.0,0.1810203347193924
2551531,00,0,0,1,58,0.016666666666666666,0.0,0.12909944487358055
2120978,00,0,0,1,11,0.016666666666666666,0.0,0.1290994448735807
2112860,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
2835447,00,0,0,1,52,0.016666666666666666,0.0,0.12909944487358058
2716664,00,0,0,1,46,0.016666666666666666,0.0,0.1290994448735806
2659405,00,0,0,1,36,0.016666666666666666,0.0,0.12909944487358063
2320291,00,0,0,1,37,0.016666666666666666,0.0,0.12909944487358063
1902730,00,0,0,1,43,0.016666666666666666,0.0,0.1290994448735806
1257260,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2648418,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
1962658,00,0,0,1,27,0.016666666666666666,0.0,0.12909944487358063
2483582,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
1399671,00,0,0,1,28,0.016666666666666666,0.0,0.12909944487358063
2835442,00,0,0,1,20,0.016666666666666666,0.0,0.12909944487358066
1073407,00,0,0,1,49,0.016666666666666666,0.0,0.12909944487358058
1920778,00,0,0,1,50,0.016666666666666666,0.0,0.12909944487358058
S264932,00,0,0,2,38,0.06666666666666667,0.0,0.31172927556284763
2849073,00,0,0,2,36,0.1,0.0,0.39915164273532056
2825124,00,0,0,1,1,0.03333333333333333,0.0,0.18102033471939238
S138494,00,0,0,1,25,0.03333333333333333,0.0,0.18102033471939244
2827514,00,0,2,2,0,0.08333333333333333,0.0,0.3340388014946093
1683285,00,0,0,1,53,0.03333333333333333,0.0,0.18102033471939252
2816977,00,0,0,1,51,0.016666666666666666,0.0,0.12909944487358058
2483697,00,0,0,2,26,0.06666666666666667,0.0,0.3117292755628476
2817941,00,0,0,2,6,0.05,0.0,0.2867113353715001
2046553,00,0,0,1,18,0.016666666666666666,0.0,0.12909944487358066
1831179,00,0,0,1,53,0.016666666666666666,0.0,0.12909944487358058
2587519,00,0,0,3,22,0.05,0.0,0.3872983346207413
2782626,00,0,0,1,8,0.03333333333333333,0.0,0.1810203347193924
S210699,00,0,0,1,18,0.016666666666666666,0.0,0.12909944487358066
2011503,00,0,0,1,3,0.05,0.0,0.21978417765108266
2795855,00,0,0,1,7,0.016666666666666666,0.0,0.12909944487358072
2086583,00,0,0,1,35,0.016666666666666666,0.0,0.12909944487358063
2826175,00,0,0,1,46,0.03333333333333333,0.0,0.1810203347193925
1952158,00,0,0,1,50,0.016666666666666666,0.0,0.12909944487358058
1939689,00,0,0,2,49,0.03333333333333333,0.0,0.25819888974716115
2725542,00,0,0,1,56,0.016666666666666666,0.0,0.12909944487358055
1825779,00,0,0,1,35,0.03333333333333333,0.0,0.18102033471939247
2680070,00,0,0,1,45,0.016666666666666666,0.0,0.1290994448735806
2625901,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
S144526,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
944091,00,0,0,1,22,0.016666666666666666,0.0,0.12909944487358066
2527394,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
2534629,00,0,0,1,5,0.03333333333333333,0.0,0.1810203347193924
2091488,00,0,0,1,1,0.016666666666666666,0.0,0.12909944487358072
S164690,00,0,0,1,59,0.016666666666666666,0.0,0.12909944487358055
2800774,00,0,0,1,12,0.03333333333333333,0.0,0.1810203347193924
2771559,00,0,0,1,1,0.05,0.0,0.21978417765108266
2160164,00,0,0,1,1,0.03333333333333333,0.0,0.18102033471939238
S213984,00,0,0,2,29,0.03333333333333333,0.0,0.25819888974716126
1059861,00,0,0,1,34,0.016666666666666666,0.0,0.12909944487358063
S154372,00,0,0,2,8,0.03333333333333333,0.0,0.25819888974716143
1841595,00,0,0,1,23,0.016666666666666666,0.0,0.12909944487358066
2832852,00,0,0,1,44,0.016666666666666666,0.0,0.1290994448735806
1879601,00,0,0,1,2,0.03333333333333333,0.0,0.18102033471939238
S136935,00,0,0,1,9,0.03333333333333333,0.0,0.1810203347193924
1380360,00,0,0,1,37,0.016666666666666666,0.0,0.12909944487358063
2842350,00,0,0,1,20,0.016666666666666666,0.0,0.12909944487358066
1903980,00,0,0,1,30,0.016666666666666666,0.0,0.12909944487358063
2844592,00,0,0,2,1,0.03333333333333333,0.0,0.25819888974716143
2074565,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
1674080,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
2393796,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2680437,00,0,0,1,18,0.016666666666666666,0.0,0.12909944487358066
2701791,00,0,0,1,2,0.03333333333333333,0.0,0.18102033471939238
2619826,00,0,0,1,28,0.016666666666666666,0.0,0.12909944487358063
2751986,00,0,0,1,3,0.03333333333333333,0.0,0.1810203347193924
2534688,00,0,0,2,27,0.03333333333333333,0.0,0.25819888974716126
1809351,00,0,0,1,15,0.016666666666666666,0.0,0.1290994448735807
2787492,00,0,0,1,7,0.016666666666666666,0.0,0.12909944487358072
2846770,00,0,0,1,4,0.06666666666666667,0.0,0.2515488742932314
S168363,00,0,0,1,41,0.016666666666666666,0.0,0.1290994448735806
S136339,00,0,0,1,3,0.016666666666666666,0.0,0.12909944487358072
2746012,00,0,0,1,25,0.016666666666666666,0.0,0.12909944487358066
1495096,00,0,0,2,43,0.03333333333333333,0.0,0.2581988897471612
2757077,00,0,0,1,12,0.03333333333333333,0.0,0.1810203347193924
2769382,00,0,0,1,22,0.016666666666666666,0.0,0.12909944487358066
2846478,00,0,0,1,42,0.016666666666666666,0.0,0.1290994448735806
2786887,00,0,0,1,1,0.05,0.0,0.21978417765108266
2800822,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2831530,00,0,0,1,54,0.016666666666666666,0.0,0.12909944487358058
499957,00,0,0,1,52,0.016666666666666666,0.0,0.12909944487358058
2080124,00,0,0,1,24,0.016666666666666666,0.0,0.12909944487358066
2155608,00,0,0,2,2,0.05,0.0,0.2867113353714996
2350397,00,0,0,1,44,0.016666666666666666,0.0,0.1290994448735806
2799440,00,0,0,1,6,0.05,0.0,0.21978417765108266
2837743,00,0,0,1,6,0.03333333333333333,0.0,0.1810203347193924
1589389,00,0,0,1,10,0.016666666666666666,0.0,0.1290994448735807
2767656,00,0,0,1,39,0.016666666666666666,0.0,0.1290994448735806
1917444,00,0,0,1,45,0.016666666666666666,0.0,0.1290994448735806
2770803,00,0,0,1,50,0.016666666666666666,0.0,0.12909944487358058
2594651,00,0,0,1,26,0.016666666666666666,0.0,0.12909944487358066
2826786,00,0,0,1,33,0.016666666666666666,0.0,0.12909944487358063
2842214,00,0,0,1,1,0.03333333333333333,0.0,0.18102033471939238
2553389,00,0,0,1,7,0.016666666666666666,0.0,0.12909944487358072
2595059,00,0,0,1,20,0.016666666666666666,0.0,0.12909944487358066
2850687,00,0,0,1,48,0.016666666666666666,0.0,0.12909944487358058
S143630,00,0,0,1,53,0.03333333333333333,0.0,0.1810203347193925
S227477,00,0,0,2,51,0.05,0.0,0.28671133537149956
2777137,00,0,0,1,16,0.016666666666666666,0.0,0.1290994448735807
2530847,00,0,0,1,8,0.016666666666666666,0.0,0.12909944487358072
2008966,00,0,0,1,2,0.016666666666666666,0.0,0.12909944487358072
2772136,00,0,0,1,9,0.016666666666666666,0.0,0.1290994448735807
2498514,00,0,0,1,55,0.016666666666666666,0.0,0.12909944487358055
2850594,00,0,0,1,11,0.03333333333333333,0.0,0.1810203347193924
2842573,00,0,0,1,46,0.03333333333333333,0.0,0.1810203347193925
2850632,00,0,0,2,25,0.08333333333333333,0.0,0.3340388014946091
1831121,00,0,0,1,6,0.03333333333333333,0.0,0.1810203347193924
